,ticker,year,IT_similarity,OR_similarity,IT_growth,OR_growth,Revenues,Net Income,Sector,Industry,Marketcap,IT_growth_lag1,IT_growth_lag2,IT_growth_lag3,IT_growth_lag4,IT_growth_lag5
0,AAPL,2014,0.5428,0.5891,,,182795000000.0,39510000000.0,Technology,Consumer Electronics,3846819807232,,,,,
1,AAPL,2015,0.476,0.4858,-0.12306558585114213,-0.1753522322186385,233715000000.0,53394000000.0,Technology,Consumer Electronics,3846819807232,,,,,
2,AAPL,2016,0.4424,0.6352,-0.07058823529411762,0.30753396459448323,215639000000.0,45687000000.0,Technology,Consumer Electronics,3846819807232,-0.12306558585114213,,,,
3,AAPL,2017,0.4972,0.529,0.1238698010849908,-0.1671914357682619,458468000000.0,48351000000.0,Technology,Consumer Electronics,3846819807232,-0.07058823529411762,-0.12306558585114213,,,
4,AAPL,2018,0.4393,0.5797,-0.1164521319388575,0.09584120982986755,531190000000.0,59531000000.0,Technology,Consumer Electronics,3846819807232,0.1238698010849908,-0.07058823529411762,-0.12306558585114213,,
5,AAPL,2019,0.4483,0.4711,0.020487138629637913,-0.18733827841987227,260174000000.0,55256000000.0,Technology,Consumer Electronics,3846819807232,-0.1164521319388575,0.1238698010849908,-0.07058823529411762,-0.12306558585114213,
6,AAPL,2020,0.4198,0.5946,-0.0635734998884675,0.2621524092549352,274515000000.0,57411000000.0,Technology,Consumer Electronics,3846819807232,0.020487138629637913,-0.1164521319388575,0.1238698010849908,-0.07058823529411762,-0.12306558585114213
7,AAPL,2021,0.438,0.5244,0.043353978084802236,-0.11806256306760854,365817000000.0,94680000000.0,Technology,Consumer Electronics,3846819807232,-0.0635734998884675,0.020487138629637913,-0.1164521319388575,0.1238698010849908,-0.07058823529411762
8,AAPL,2022,0.4737,0.5674,0.08150684931506857,0.08199847444698705,394328000000.0,99803000000.0,Technology,Consumer Electronics,3846819807232,0.043353978084802236,-0.0635734998884675,0.020487138629637913,-0.1164521319388575,0.1238698010849908
9,AAPL,2023,0.5103,0.4864,0.07726409119695998,-0.1427564328516039,383285000000.0,96995000000.0,Technology,Consumer Electronics,3846819807232,0.08150684931506857,0.043353978084802236,-0.0635734998884675,0.020487138629637913,-0.1164521319388575
10,ABBV,2014,0.2461,0.3688,,,19960000000.0,1774000000.0,Healthcare,Drug Manufacturers - General,310274424832,,,,,
11,ABBV,2015,0.262,0.3802,0.06460788297440057,0.030911062906724407,22859000000.0,5144000000.0,Healthcare,Drug Manufacturers - General,310274424832,,,,,
12,ABBV,2016,0.3385,0.4163,0.2919847328244276,0.09495002630194649,51276000000.0,5953000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.06460788297440057,,,,
13,ABBV,2017,0.3918,0.4504,0.1574593796159527,0.08191208263271688,56432000000.0,5309000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.2919847328244276,0.06460788297440057,,,
14,ABBV,2018,0.252,0.2549,-0.3568147013782542,-0.4340586145648313,65506000000.0,11374000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.1574593796159527,0.2919847328244276,0.06460788297440057,,
15,ABBV,2019,0.3333,0.4545,0.3226190476190476,0.783052177324441,66532000000.0,15764000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.3568147013782542,0.1574593796159527,0.2919847328244276,0.06460788297440057,
16,ABBV,2020,0.2733,0.4111,-0.18001800180018002,-0.09548954895489548,91608000000.0,9238000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.3226190476190476,-0.3568147013782542,0.1574593796159527,0.2919847328244276,0.06460788297440057
17,ABBV,2021,0.2924,0.4558,0.06988657153311384,0.10873266845049856,112394000000.0,23091000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.18001800180018002,0.3226190476190476,-0.3568147013782542,0.1574593796159527,0.2919847328244276
18,ABBV,2022,0.3216,0.2276,0.09986320109439117,-0.500658183413778,116108000000.0,23681000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.06988657153311384,-0.18001800180018002,0.3226190476190476,-0.3568147013782542,0.1574593796159527
19,ABBV,2023,0.2848,0.5131,-0.11442786069651745,1.2543936731107208,108636000000.0,9736000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.09986320109439117,0.06988657153311384,-0.18001800180018002,0.3226190476190476,-0.3568147013782542
20,ABT,2014,0.2976,0.3661,,,20247000000.0,2284000000.0,Healthcare,Medical Devices,198127370240,,,,,
21,ABT,2015,0.3124,0.4846,0.04973118279569899,0.32368205408358364,20405000000.0,8846000000.0,Healthcare,Medical Devices,198127370240,,,,,
22,ABT,2016,0.3512,0.5874,0.12419974391805377,0.21213371853074703,20853000000.0,2800000000.0,Healthcare,Medical Devices,198127370240,0.04973118279569899,,,,
23,ABT,2017,0.4125,0.5321,0.17454441913439633,-0.09414368403132445,27390000000.0,954000000.0,Healthcare,Medical Devices,198127370240,0.12419974391805377,0.04973118279569899,,,
24,ABT,2018,0.4439,0.3958,0.07612121212121226,-0.256154858109378,30578000000.0,4736000000.0,Healthcare,Medical Devices,198127370240,0.17454441913439633,0.12419974391805377,0.04973118279569899,,
