ticker,year,IT_similarity,OR_similarity,IT_growth,OR_growth,Revenues,Net Income,Sector,Industry,Marketcap,IT_growth_lag1,IT_growth_lag2,IT_growth_lag3,IT_growth_lag4,IT_growth_lag5
AAPL,2014,0.5985,0.3458,,,182795000000.0,39510000000.0,Technology,Consumer Electronics,3846819807232,,,,,
AAPL,2015,0.7925,0.3302,0.3241436925647452,-0.045112781954887216,233715000000.0,53394000000.0,Technology,Consumer Electronics,3846819807232,,,,,
AAPL,2016,0.4994,0.5334,-0.3698422712933753,0.6153846153846154,215639000000.0,45687000000.0,Technology,Consumer Electronics,3846819807232,0.3241436925647452,,,,
AAPL,2017,0.5116,0.4393,0.024429315178214006,-0.17641544806899134,458468000000.0,48351000000.0,Technology,Consumer Electronics,3846819807232,-0.3698422712933753,0.3241436925647452,,,
AAPL,2018,0.4349,0.4379,-0.14992181391712278,-0.0031868882312771074,531190000000.0,59531000000.0,Technology,Consumer Electronics,3846819807232,0.024429315178214006,-0.3698422712933753,0.3241436925647452,,
AAPL,2019,0.7255,0.3222,0.6681995861117498,-0.26421557433203935,260174000000.0,55256000000.0,Technology,Consumer Electronics,3846819807232,-0.14992181391712278,0.024429315178214006,-0.3698422712933753,0.3241436925647452,
AAPL,2020,0.3795,0.4066,-0.47691247415575466,0.2619490999379268,274515000000.0,57411000000.0,Technology,Consumer Electronics,3846819807232,0.6681995861117498,-0.14992181391712278,0.024429315178214006,-0.3698422712933753,0.3241436925647452
AAPL,2021,0.4673,0.3831,0.23135704874835317,-0.05779636005902611,365817000000.0,94680000000.0,Technology,Consumer Electronics,3846819807232,-0.47691247415575466,0.6681995861117498,-0.14992181391712278,0.024429315178214006,-0.3698422712933753
AAPL,2022,0.5063,0.381,0.08345816392039374,-0.0054815974941268,394328000000.0,99803000000.0,Technology,Consumer Electronics,3846819807232,0.23135704874835317,-0.47691247415575466,0.6681995861117498,-0.14992181391712278,0.024429315178214006
AAPL,2023,0.799,0.3362,0.5781157416551452,-0.11758530183727034,383285000000.0,96995000000.0,Technology,Consumer Electronics,3846819807232,0.08345816392039374,0.23135704874835317,-0.47691247415575466,0.6681995861117498,-0.14992181391712278
ABBV,2014,0.2577,0.4748,,,19960000000.0,1774000000.0,Healthcare,Drug Manufacturers - General,310274424832,,,,,
ABBV,2015,0.162,0.4669,-0.37136204889406277,-0.01663858466722834,22859000000.0,5144000000.0,Healthcare,Drug Manufacturers - General,310274424832,,,,,
ABBV,2016,0.3182,0.2846,0.9641975308641975,-0.39044763332619403,51276000000.0,5953000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.37136204889406277,,,,
ABBV,2017,0.1775,0.4467,-0.4421747328724073,0.5695713281799015,56432000000.0,5309000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.9641975308641975,-0.37136204889406277,,,
ABBV,2018,0.1632,0.4334,-0.08056338028169008,-0.029773897470337984,65506000000.0,11374000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.4421747328724073,0.9641975308641975,-0.37136204889406277,,
ABBV,2019,0.2947,0.2671,0.8057598039215685,-0.3837101984310106,66532000000.0,15764000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.08056338028169008,-0.4421747328724073,0.9641975308641975,-0.37136204889406277,
ABBV,2020,0.2032,0.3056,-0.310485239226332,0.14414077124672398,91608000000.0,9238000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.8057598039215685,-0.08056338028169008,-0.4421747328724073,0.9641975308641975,-0.37136204889406277
ABBV,2021,0.1876,0.3301,-0.07677165354330706,0.08017015706806285,112394000000.0,23091000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.310485239226332,0.8057598039215685,-0.08056338028169008,-0.4421747328724073,0.9641975308641975
ABBV,2022,0.1343,0.2312,-0.2841151385927505,-0.2996061799454711,116108000000.0,23681000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.07677165354330706,-0.310485239226332,0.8057598039215685,-0.08056338028169008,-0.4421747328724073
ABBV,2023,0.1657,0.3518,0.2338049143708114,0.5216262975778547,108636000000.0,9736000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.2841151385927505,-0.07677165354330706,-0.310485239226332,0.8057598039215685,-0.08056338028169008
ABT,2014,0.4738,0.469,,,20247000000.0,2284000000.0,Healthcare,Medical Devices,198127370240,,,,,
ABT,2015,0.3501,0.3916,-0.26108062473617555,-0.1650319829424306,20405000000.0,8846000000.0,Healthcare,Medical Devices,198127370240,,,,,
ABT,2016,0.4705,0.5661,0.3439017423593258,0.44560776302349336,20853000000.0,2800000000.0,Healthcare,Medical Devices,198127370240,-0.26108062473617555,,,,
ABT,2017,0.5703,0.218,0.21211477151966007,-0.6149090266737326,27390000000.0,954000000.0,Healthcare,Medical Devices,198127370240,0.3439017423593258,-0.26108062473617555,,,
ABT,2018,0.5142,0.2394,-0.09836927932667028,0.09816513761467882,30578000000.0,4736000000.0,Healthcare,Medical Devices,198127370240,0.21211477151966007,0.3439017423593258,-0.26108062473617555,,
