,ticker,year,IT,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
0,AAPL,2014,0.5985,0.3458,,,,,
1,AAPL,2015,0.7925,0.3302,0.5985,,,,
2,AAPL,2016,0.4994,0.5334,0.7925,0.5985,,,
3,AAPL,2017,0.5116,0.4393,0.4994,0.7925,0.5985,,
4,AAPL,2018,0.4349,0.4379,0.5116,0.4994,0.7925,0.5985,
5,AAPL,2019,0.7255,0.3222,0.4349,0.5116,0.4994,0.7925,0.5985
6,AAPL,2020,0.3795,0.4066,0.7255,0.4349,0.5116,0.4994,0.7925
7,AAPL,2021,0.4673,0.3831,0.3795,0.7255,0.4349,0.5116,0.4994
8,AAPL,2022,0.5063,0.381,0.4673,0.3795,0.7255,0.4349,0.5116
9,AAPL,2023,0.799,0.3362,0.5063,0.4673,0.3795,0.7255,0.4349
10,ABBV,2014,0.2577,0.4748,,,,,
11,ABBV,2015,0.162,0.4669,0.2577,,,,
12,ABBV,2016,0.3182,0.2846,0.162,0.2577,,,
13,ABBV,2017,0.1775,0.4467,0.3182,0.162,0.2577,,
14,ABBV,2018,0.1632,0.4334,0.1775,0.3182,0.162,0.2577,
15,ABBV,2019,0.2947,0.2671,0.1632,0.1775,0.3182,0.162,0.2577
16,ABBV,2020,0.2032,0.3056,0.2947,0.1632,0.1775,0.3182,0.162
17,ABBV,2021,0.1876,0.3301,0.2032,0.2947,0.1632,0.1775,0.3182
18,ABBV,2022,0.1343,0.2312,0.1876,0.2032,0.2947,0.1632,0.1775
19,ABBV,2023,0.1657,0.3518,0.1343,0.1876,0.2032,0.2947,0.1632
20,ABT,2014,0.4738,0.469,,,,,
21,ABT,2015,0.3501,0.3916,0.4738,,,,
22,ABT,2016,0.4705,0.5661,0.3501,0.4738,,,
23,ABT,2017,0.5703,0.218,0.4705,0.3501,0.4738,,
24,ABT,2018,0.5142,0.2394,0.5703,0.4705,0.3501,0.4738,
25,ABT,2019,0.4042,0.4153,0.5142,0.5703,0.4705,0.3501,0.4738
